category,component,weight_g,notes
Structure,Udaan fuselage + wings,3200,"Airframe without avionics or propulsor"
Structure,Landing gear and booms,450,"Includes ballast rails and quick-release panels"
Propulsion,Main motor + mount,550,"Current propulsion unit for short-runway ops"
Propulsion,Propeller,120,"Carbon prop matched to the motor"
Propulsion,ESC + high-current wiring,180,"80 A continuous class"
Energy,6S Li-ion pack (12 Ah),1500,"Molicel P45B cell pack; also powers avionics via BECs"
Avionics,Cube Orange + ADS-B carrier,120,"Primary flight controller and integrated sensors"
Avionics,Servos (6),200,"Average installed set"
Avionics,Raspberry Pi companion computer,80,"AIDA autonomy brain"
Avionics,5 GHz telemetry radio,150,"High-rate IP link for telemetry/video"
Avionics,LTE/5G modem,50,"Redundant BVLOS/backhaul comms"
Avionics,VectorNav VN-200,35,"External GNSS/IMU for redundancy"
Avionics,Digital pitot-static module,30,"Airspeed and barometric altimeter"
Avionics,Lightware SF45 lidar,100,"Range-to-ground and obstacle sensing"
Avionics,Luxonis OAK-D Lite,85,"Vision/perception payload"
Avionics,Power monitor + wiring margin,20,"Current/voltage telemetry and harness allowance"
Test Payload,Instrumentation margin,150,"Spare capacity for temporary sensors"
TOTAL,,7020,"≈7.0 kg current estimate without the old payload"
